No,Nama Lengkap,Email,No HP,Area,Level Member,Total Pesanan,Pesanan Selesai,Pesanan Dibatalkan,Total Belanja,Rata-rata per Pesanan,Layanan Favorit,Tanggal Bergabung
1,Ahmad Fauzi,ahmadfauzi15@gmail.com,08123001001,Sukolilo,silver,4,4,0,281440,70360,Extra Deep Clean (3x),04 Juni 2026
2,Satria Wibowo,satriawibowo99@gmail.com,08123001029,Klampis,silver,4,4,0,241000,60250,Special Clean (5 km) (2x),04 Juni 2026
3,Gita Nurhaliza,gitanurhaliza98@gmail.com,08123001014,Manyar,silver,4,4,0,225000,56250,Deep Clean (2x),04 Juni 2026
4,Lukman Hidayat,lukmanhidayat95@gmail.com,08123001021,Sukolilo,silver,4,4,0,211000,52750,Sahabat Manis (2x),04 Juni 2026
5,Tari Anggraini,tarianggraini01@gmail.com,08123001032,Keputih,silver,4,4,0,211000,52750,Extra Deep Clean (2x),04 Juni 2026
6,Aditya Kurniawan,adityakurniawan96@gmail.com,08123001011,Sukolilo,silver,4,4,0,203440,50860,Extra Deep Clean (1x),04 Juni 2026
7,Reza Mahendra,rezamahendra03@gmail.com,08123001027,Nginden,silver,4,4,0,201000,50250,Basic Clean (1x),04 Juni 2026
8,Intan Saraswati,intansaras01@gmail.com,08123001018,Semolowaru,silver,4,4,0,198000,49500,Deep Clean (2x),04 Juni 2026
9,Anisa Rahmawati,anisarahma01@gmail.com,08123001002,Keputih,bronze,3,3,0,191000,63667,Extra Deep Clean (1x),04 Juni 2026
10,Fitri Handayani,fitrihandayani@gmail.com,08123001012,Keputih,bronze,3,3,0,185000,61667,Special Clean (5 km) (1x),04 Juni 2026
11,Fajar Nugroho,fajarnugroho02@gmail.com,08123001009,Klampis,bronze,4,3,1,182840,60947,Extra Deep Clean (1x),04 Juni 2026
12,Hendra Setiawan,hendrasetiawan@gmail.com,08123001015,Mulyosari,bronze,4,3,1,165840,55280,Sahabat Akrab (2x),04 Juni 2026
13,Rizky Pratama,rizkypratama99@gmail.com,08123001005,Mulyosari,bronze,4,3,1,148000,49333,Jasa Laundry (5 km) (1x),04 Juni 2026
14,Nissa Aulia,nissaaulia02@gmail.com,08123001024,Manyar,bronze,3,3,0,138000,46000,Deep Clean (2x),04 Juni 2026
15,Irfan Hakim,irfanhakim03@gmail.com,08123001017,Nginden,bronze,3,3,0,126000,42000,Sahabat Manis (2x),04 Juni 2026
16,Maya Indah,mayaindah04@gmail.com,08123001022,Keputih,bronze,4,4,0,125000,31250,Pro Basic Clean (3x),04 Juni 2026
17,Citra Dewi,citradewi20@gmail.com,08123001006,Menur,bronze,3,2,1,118000,59000,Basic Clean (1x),04 Juni 2026
18,Dimas Ardiansyah,dimasard01@gmail.com,08123001007,Nginden,bronze,2,2,0,106000,53000,Sahabat Manis (1x),04 Juni 2026
19,Eka Putri,ekaputri0304@gmail.com,08123001010,Medokan,bronze,4,4,0,100000,25000,Jasa Laundry (5 km) (2x),04 Juni 2026
20,Nanda Saputra,nandasaputra98@gmail.com,08123001023,Gebang,bronze,4,2,2,100000,50000,Deep Clean (3x),04 Juni 2026
21,Bagas Wijaya,bagaswijaya00@gmail.com,08123001013,Gebang,bronze,2,2,0,98000,49000,Extra Deep Clean (1x),04 Juni 2026
22,Wulan Kusuma,wulankusuma97@gmail.com,08123001034,Manyar,bronze,3,3,0,96000,32000,Sahabat Manis (2x),04 Juni 2026
23,Kevin Gunawan,kevingunawan97@gmail.com,08123001019,Klampis,bronze,2,2,0,85000,42500,Pro Basic Clean (1x),04 Juni 2026
24,Umar Bakri,umarbakri00@gmail.com,08123001033,Gebang,bronze,2,2,0,73000,36500,Sahabat Manis (1x),04 Juni 2026
25,Budi Santoso,budisantoso98@gmail.com,08123001003,Gebang,bronze,2,2,0,70000,35000,Basic Clean (1x),04 Juni 2026
26,Sari Yulianti,sariyulianti02@gmail.com,08123001030,Medokan,bronze,3,2,1,70000,35000,Deep Clean (2x),04 Juni 2026
27,Bella Permata,bellaprmt22@gmail.com,08123001004,Manyar,bronze,1,1,0,50000,50000,Deep Clean (1x),04 Juni 2026
28,Thariq,thariqjatmiko23@gmail.com,-,Gebang,bronze,1,1,0,45000,45000,Jasa Laundry (5 km) (1x),04 Juni 2026
29,Yuni Rahayu,yunirahayu03@gmail.com,08123001036,Menur,bronze,3,1,2,38000,38000,Sahabat Manis (2x),04 Juni 2026
30,Anggun,anggunnp91@gmail.com,-,Keputih,bronze,1,1,0,35000,35000,Pro Basic Clean (1x),04 Juni 2026
31,mhanif,mhanif@student.ppns.ac.id,-,Keputih,bronze,1,1,0,20000,20000,Basic Clean (1x),04 Juni 2026
32,Dewi,dewisyafitri997@gmail.com,-,Gebang,bronze,1,1,0,20000,20000,Basic Clean (1x),04 Juni 2026
33,Okta Ramadhan,oktaramadhan21@gmail.com,08123001025,Mulyosari,bronze,2,1,1,20000,20000,Deep Clean (1x),04 Juni 2026
34,Putri Wulandari,putriwulan96@gmail.com,08123001026,Menur,bronze,1,1,0,20000,20000,Basic Clean (1x),04 Juni 2026
