No,Nomor Pesanan,Tanggal Pesan,Jam,Status,Nama Pelanggan,Email,No HP,Area,Alamat,Layanan,Harga Layanan,Kode Promo,Diskon,Total Bayar,Rating,Catatan
1,DC-00001,16 April 2026,08:53,completed,Maya Indah,mayaindah04@gmail.com,08123001022,Keputih,Klampis Ngasem No. 14,Pro Basic Clean,35000,-,0,35000,4/5,-
2,DC-00002,16 April 2026,13:08,completed,Gita Nurhaliza,gitanurhaliza98@gmail.com,08123001014,Manyar,Manyar Jaya No. 10,Sahabat Manis,38000,-,0,38000,-,-
3,DC-00003,16 April 2026,14:22,completed,Reza Mahendra,rezamahendra03@gmail.com,08123001027,Nginden,Keputih Timur 2A No. 17,Basic Clean,20000,-,0,20000,3/5,-
4,DC-00004,17 April 2026,07:57,completed,Tari Anggraini,tarianggraini01@gmail.com,08123001032,Keputih,"Kos Hijau, Mulyosari",Extra Deep Clean,63000,-,0,63000,3/5,-
5,DC-00005,17 April 2026,14:34,completed,Intan Saraswati,intansaras01@gmail.com,08123001018,Semolowaru,Medokan Semampir No. 9,Pro Basic Clean,35000,-,0,35000,4/5,Kos samping kantin biru
6,DC-00006,17 April 2026,16:09,completed,Satria Wibowo,satriawibowo99@gmail.com,08123001029,Klampis,"Kos Pak RT, Gebang Kidul",Special Clean (5 km),78000,-,0,78000,5/5,"Lantai 2, belok kanan"
7,DC-00007,18 April 2026,09:34,cancelled,Rizky Pratama,rizkypratama99@gmail.com,08123001005,Mulyosari,"Jl. Sukolilo No. 12, Kos Biru",Jasa Laundry (5 km),15000,-,0,15000,-,-
8,DC-00008,18 April 2026,10:03,completed,Fajar Nugroho,fajarnugroho02@gmail.com,08123001009,Klampis,Klampis Ngasem No. 14,Extra Deep Clean,63000,-,0,63000,4/5,-
9,DC-00009,18 April 2026,11:09,completed,Eka Putri,ekaputri0304@gmail.com,08123001010,Medokan,Jl. Manyar Permai No. 22,Basic Clean,20000,-,0,20000,-,-
10,DC-00010,18 April 2026,16:58,completed,Sari Yulianti,sariyulianti02@gmail.com,08123001030,Medokan,Mulyosari Utara No. 4,Deep Clean,50000,-,0,50000,3/5,Jangan lupa sudut lemari juga
11,DC-00011,19 April 2026,17:38,completed,Ahmad Fauzi,ahmadfauzi15@gmail.com,08123001001,Sukolilo,Manyar Jaya No. 10,Extra Deep Clean,63000,DORMCARE15,7560,55440,3/5,-
12,DC-00012,19 April 2026,10:08,completed,Kevin Gunawan,kevingunawan97@gmail.com,08123001019,Klampis,Manyar Jaya No. 10,Pro Basic Clean,35000,-,0,35000,5/5,Tolong fokus kamar mandi ya
13,DC-00013,19 April 2026,14:56,completed,Wulan Kusuma,wulankusuma97@gmail.com,08123001034,Manyar,Klampis Asri Blok C-3,Sahabat Manis,38000,-,0,38000,-,-
14,DC-00014,19 April 2026,15:56,completed,Lukman Hidayat,lukmanhidayat95@gmail.com,08123001021,Sukolilo,"Kos Bunga, Nginden",Sahabat Manis,38000,-,0,38000,4/5,-
15,DC-00015,21 April 2026,08:19,completed,Nissa Aulia,nissaaulia02@gmail.com,08123001024,Manyar,"Jl. Sukolilo No. 12, Kos Biru",Deep Clean,50000,-,0,50000,5/5,-
16,DC-00016,21 April 2026,13:09,cancelled,Nanda Saputra,nandasaputra98@gmail.com,08123001023,Gebang,"Kos Pak RT, Gebang Kidul",Extra Deep Clean,63000,DORMCARE15,7560,55440,-,Jangan lupa sudut lemari juga
17,DC-00017,22 April 2026,07:12,completed,Aditya Kurniawan,adityakurniawan96@gmail.com,08123001011,Sukolilo,Jl. Menur Pumpungan No. 8,Extra Deep Clean,63000,DORMCARE15,7560,55440,5/5,Di belakang ada pintu alternatif
18,DC-00018,22 April 2026,08:56,completed,Hendra Setiawan,hendrasetiawan@gmail.com,08123001015,Mulyosari,Klampis Asri Blok C-3,Sahabat Akrab,68000,-,0,68000,5/5,-
19,DC-00019,23 April 2026,08:02,cancelled,Yuni Rahayu,yunirahayu03@gmail.com,08123001036,Menur,Medokan Ayu No. 7,Sahabat Manis,38000,-,0,38000,-,-
